content,polarity
@NoilyMV yo soy totalmente puntual,NONE
"@SandraCauffman Hola Sandrita. No le habia deseado un feliz dia de la madre, tarde pero seguro.¿ Sabe usted si Juno ha tomado mas fotos ?",P
Si andan haciendo eso mejor se quedaran calladitas jaja pero así se están quemando ellas mismas e insinuando que son unas metidas,N
Que pereza quiero choco banano,N
"@robertobrenes Bueno, no es tanto lo mayor como cuánto de campo sea usted. Sos cartaguito en cada aspecto de tu vida, por lo visto.",N
Pasé todo el día buscando mi Baby Lips y lo acabo de encontrar. Estaba en la mesita de noche de fijo lo puse ahí dormida,NEU
"@doriamdiaz El de Halfon de Germinal se ve mortal. Y los de Mary Jo Bang se fueron volando, pero todavía quedan. En Duluoz hay de Salcedo",P
"Ahorita me van a cambiar las ligas de los brakets, Tengo alfajores argentinos en mi bulto, tengo hambre , ¿QUÉ HAGO? no puedo esperar más",NONE
"El amor es paciente, es bondadoso, no es envidioso ni orgulloso, no es egoísta, no guarda rencor. 1 Corintios 13:4-5 Buen día a todos",P
"El amanecer respirando o2 puro, es más que un regalo... más si es a las 6:00 am frente al mar... preparando la mente con meditación.",P
Acabo de ver una chamaca con un piercing de mota en el ombligo. Lo peor es que tiene cara de que lo que fuma es jamón,N
"@ruthernandezj hahaha sq si tiene un 5 HACE RATO era de cambiarlo haha, yo creo que si aguanta el mio bastantito! Casi 1 año ya",NEU
"Acabo de ver a una excompañera de trabajo y me sentí tentado a saludarla. Con la trompa del carro, a 150kmph, intencionalmente.",N
@Colucci_99 ah si gracias Esas son las que he encontrado hasta ahora. Antes en pricesmart las vendían hace años pero ya no..,NONE
"Buenas noches papus, que descansen",P
Me faltan 50mil colones la única manera de hacer toda la entrada de Metallica es literal pichaseandome esta semana trabajar 12 horas,N
Alvarado velando por mi salud,NONE
"@josdav17 nunca hacen nada, hasta que exista según ellos más evidencia o sea aparecer más de 4 veces al día en tu casa no es válido",N
@Manryev ¡Me alegra muchísimo que te gustara! Igualmente un placer saludarte La próxima que vengás a SJ avisá con tiempo y vamos por café,P
Hoy tengo 2 preguntas existenciales...1) ¿Por qué hoy esta haciendo TANTO frío? y 2) ¿Porque me volvió a dar hipo después de tantos años?,NONE
Aquí en #Chepe ¿dónde consigo un buen sartén de hierro? Vi unos en Universal marca GIBSON q ni siquiera aparecen en internet,NONE
@sancarlena77 @frankgrs nunca dije lo contrario,NONE
A mí me dan ganas de volarmelo pero me acuerdo de que mi pelo es un desmadre y me lo dejo quedito,N
"Pobre Bastian Scheweisteinger lo que le está pasando en el United, es muy crack y el genio de Mou no lo quiere",P
"@kanygarcia esaaa la mejor de las suertes! Disfruta la noche, disfruta del #GranRex saludos desde Costa Rica! Buena vida, pura vida!!!",P
"""Mae mañana llego a las 10, cuidado te quedas dormida porque a las 10 estoy ahí"" -Liena, se quedó dormida y no ha llegado.",N
Mi familia va para la playa y yo por irresponsable tengo que quedarme haciendo los 1000 extra clases que tengo para el martes.,NONE
"@francetvinfo @mr_matth @France2tv Cómo?Por años él ha sido parte del Tour,junto con las bicis y las camisas amarilla. MUCHAS GRACIAS!!",P
Mejor me duermo buenas noches,NEU
"Mi horario de este semestre es tan tan feo, que me tendré que despedir de mi poca vida social y del estreno de suicide squad",N
Sabia que no iba a ser un buen día cuando me dejó el bus y se me rompió la faja del bolso.,N
"Maes, la vida es una mierda: estén felices o no. Mejor sonrían y aprovechen el tiempo. Estar amargado no la va a hacer menos mierda.",NEU
"@rociomoram29 que mal y por eso es que están jugando, yo creo q los jugadores viejos o de la casa deberían tener prioridad pero bueno...",N
Parce yo estoy igual @PaisaVlogs,NEU
Gracias a Dios cerrando con broche de oro! Dios siempre dando lo mejor a sus Hijos esta semana fue mucho mejor que la pasada! #thnksGod,P
"Hola, soy Paulo y soy parte de la primera generación que va a tener resolución de problemas en bachi de mate",NONE
"@donovanrp excelente, cuando me den el carro lo molesto, igual no conozco a nadie mas q haga Uber asi que el bono es suyo",P
"@KristelS18 Acá tengo pero ugh, la canela no me gusta mucho es que es que me cae pesado, pero se me quitará.. Gracias Kris.",N
Yo solo quiero dormir mas,N
"Buenas noches papus, que descansen",P
"Oiga @NarcosNetflix porque no me reviven a Escobar, pa que se ponga interesante la serie.! eh jajajaja ( es en serio)",N
El único senador q se dirigió en español a la audiencia republicana para apoyar a @realDonaldTrump es de padres costarricenses Qué pena!,N
"El horario me quedo tan perfecto y tengo tan buenas eectativas de los profes que ya quiero entrar a clases. Tan #bichoRaro, lo sé",P
"@msroucks Wtf Yo tengo mi biblia firmada por el diablo Okno, pero eso es lo que se me vino a la mente :v",NONE
Sólo mi mamá logra por primera vez una cena en paz con TODA la familia Rodríguez Qué feliz soy de tener la madre que tengo,P
"Yo vivo a 25 metros de la Basílica y salí a ver el juego de polvora de estos dos días, muy bonito #nadaquehacer",P
@AnaVM @Katagelon fijo está demasiado hermoso,P
"Viendo Looking, Queers as Folk y así, me doy cuenta que nunca he tenido un grupo de mejores amigos gays. ¿alguien me adopta?",P
Recuerdo cuando le escribía a mi hermana @Andreagraseq79 para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana,P
"Hoy inicia la concachampions 2016-2017 pero realmente no importa porque no esta la @ldacr, en todo caso la voy a seguir porque si",N
"Buenos días. Inicio de mes. A darlo todo, aunque sea ""más o menos bueno en algo"". Feliz inicio de semana",P
"Llego a la casa a las 9:20 caminando, no hay comida, todos están dormidos, mañana tengo clases a las 8am, todo esta bien",N
"Lo termine a las 2 am hora Costa Rica, porque se me hizo súper adictivo. Me gusto pero no me encanto #LCshinyforflowers",P
Yo estoy triste por Raps,N
"Fiesta bananera, día de la cerveza, Semana 14, último día de eeriencia y así no quieren que me vaya de parranda?",P
esta estupida de Abis a la par mía esperando a que saquen el desgraciado Trailer de Resident Evil fuck hasta as 12 md LA vamoooos,P
"@byCoba con agua, hielo regularmente para que se mantenga fresca y un poquito de azúcar a la semana, me han durado hasta más de 1 mes.",P
Nos encanta hacerte feliz @rubndu,P
@miguesl21 en estas épocas no hay que decirle no a ningún trofeo y es conmemorativo para todos los equipos que ganen en la jornada,NEU
Yo ni se que le hice me deja de hablar de la nada y ni sabe cuanto la extraño. Chas gracias,N
Y las emergencias? La gente que necesita ir a hospitales? Los que esperan cita desde hace años? Ahhh no! Yo apoyo el paro nacional jijis,N
@nubecina entonces no es indigente ni tiene problemas mentales? Eso no justifica nada. La lanza como 1 muñeca a la calle,N
No voy a poder ver a mi mamá el día de la madre. Por un hijo de la grandísima puta. Bien,N
La Daniela me tienen griseada.,N
"@jdclarke totalmente, lo del físico se deja atrás cuando el una persona atractiva en todo sentido. Incluyendo sus propuestas y cerebro",P
@lenaychantelle Cual es tu helado favorito y comida? Como te parecio Costa Rica cuando viniste y a donde fuiste? Sigueme pls saludos bye,NONE
Acabo de preguntarle al Mae de a la par que para donde va pero no fue por vina Esque estoy demasiado perdidaaaa,NONE
"Hoy están participando muchas más mujeres, lo que me alegra mucho. Ya sea para preguntas propias o para hacer preguntas por su pareja",P
"@me_aburris Sí he visto q los motociclistas andan especialmente violentos. Le pegan a los carros, los patean, le gritan a la gente y esto",N
"Lo bueno es que voy para Talamanca y Cahuita en una gira, lo malo es que es el finde antes del examen de analítica",NEU
No me quiero levantar aiuda,N
"Mmm no quiero hacer spoiler pero hoy va a ver algo nuevo en el canal,lo podras ver en el nuevo video que subire en unas horas",NEU
"@hugozap quizá para profesionales no sea mucho,pero hay no remunerados principalmente femenino para quienes es un sueño, pasa en mi país",N
