content,polarity
@NoilyMV yo soy totalmente puntual,NONE
"@DexterAOM por eso es que se dice lo del final, yo opino igual que usted, tampoco es q sea el final más malo de la historia es regular",NEU
"@robertobrenes Bueno, no es tanto lo mayor como cuánto de campo sea usted. Sos cartaguito en cada aspecto de tu vida, por lo visto.",N
"@doriamdiaz El de Halfon de Germinal se ve mortal. Y los de Mary Jo Bang se fueron volando, pero todavía quedan. En Duluoz hay de Salcedo",P
"Ahorita me van a cambiar las ligas de los brakets, Tengo alfajores argentinos en mi bulto, tengo hambre , ¿QUÉ HAGO? no puedo esperar más",NONE
"El amor es paciente, es bondadoso, no es envidioso ni orgulloso, no es egoísta, no guarda rencor. 1 Corintios 13:4-5 Buen día a todos",P
"El amanecer respirando o2 puro, es más que un regalo... más si es a las 6:00 am frente al mar... preparando la mente con meditación.",P
Acabo de ver una chamaca con un piercing de mota en el ombligo. Lo peor es que tiene cara de que lo que fuma es jamón,N
El sábado se casa Adriel y eso me hace sentir super vieja maee cuando ibamos a pueblo viejo x olafos saliamos fuck off y yo era la niñera,NEU
"@ferrg25 igual uno ya está en el baúl de los recuerdos jajaja y bueno pero no, no conozco a otra solo vi el tweet y me dio gracia",NEU
Hoy tengo 2 preguntas existenciales...1) ¿Por qué hoy esta haciendo TANTO frío? y 2) ¿Porque me volvió a dar hipo después de tantos años?,NONE
@sancarlena77 @frankgrs nunca dije lo contrario,NONE
"""Mae mañana llego a las 10, cuidado te quedas dormida porque a las 10 estoy ahí"" -Liena, se quedó dormida y no ha llegado.",N
"@rociomoram29 que mal y por eso es que están jugando, yo creo q los jugadores viejos o de la casa deberían tener prioridad pero bueno...",N
Parce yo estoy igual @PaisaVlogs,NEU
Gracias a Dios cerrando con broche de oro! Dios siempre dando lo mejor a sus Hijos esta semana fue mucho mejor que la pasada! #thnksGod,P
"@KristelS18 Acá tengo pero ugh, la canela no me gusta mucho es que es que me cae pesado, pero se me quitará.. Gracias Kris.",N
@26Manudo @ldacr yo que lo he visto como 10 veces y me lo sé de memoria jejeje lo siento muy emotivo. Ojalá lo vean y lo vean,P
"Si mañana no entra metales, voy a sentir muy mal a la profe hasta que diga que va a revisar suave y sí pasaría, la profe es toda cosi",P
"@msroucks Wtf Yo tengo mi biblia firmada por el diablo Okno, pero eso es lo que se me vino a la mente :v",NONE
@AnaVM @Katagelon fijo está demasiado hermoso,P
"Viendo Looking, Queers as Folk y así, me doy cuenta que nunca he tenido un grupo de mejores amigos gays. ¿alguien me adopta?",P
"@WillyrexYT y repito: lo siento por no haberte hecho nada hay un gran evento en mi país (La Romería) y no he tenido tiempo, apenas pueda",NEU
Recuerdo cuando le escribía a mi hermana @Andreagraseq79 para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana,P
"Hoy inicia la concachampions 2016-2017 pero realmente no importa porque no esta la @ldacr, en todo caso la voy a seguir porque si",N
"Buenos días. Inicio de mes. A darlo todo, aunque sea ""más o menos bueno en algo"". Feliz inicio de semana",P
"Llego a la casa a las 9:20 caminando, no hay comida, todos están dormidos, mañana tengo clases a las 8am, todo esta bien",N
"Lo termine a las 2 am hora Costa Rica, porque se me hizo súper adictivo. Me gusto pero no me encanto #LCshinyforflowers",P
"@byCoba con agua, hielo regularmente para que se mantenga fresca y un poquito de azúcar a la semana, me han durado hasta más de 1 mes.",P
Nos encanta hacerte feliz @rubndu,P
@miguesl21 en estas épocas no hay que decirle no a ningún trofeo y es conmemorativo para todos los equipos que ganen en la jornada,NEU
Y las emergencias? La gente que necesita ir a hospitales? Los que esperan cita desde hace años? Ahhh no! Yo apoyo el paro nacional jijis,N
No voy a poder ver a mi mamá el día de la madre. Por un hijo de la grandísima puta. Bien,N
@lenaychantelle #lelePREGUNTA La cancion de Drive for Miles (Mi Favorita) en que persona fue inspirada Saludos te quiero bye,P
